LOCATION,REGION,LEAD_ORGAN,LATITUDE,ESTIMATED_,ADDRESS,PLUG_TYPE,LONGITUDE,CHARGERS,NEARBY_AME,DCAV_SITE,COMPANY,PLUGSHARE_,NUMBER_OF_
Apollo Bay,Barwon South West,Evie Networks,-38.758015,Jan-24,"14 Pascoe Street, Apollo Bay VIC 3233","1 x CCS2, 1 x CHAdeMO",143.66911,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Beach, Accommodation, Supermarket, Dining, Shopping",NO,,https://www.plugshare.com/location/585476,
Fish Creek,Gippsland,Evie Networks,-38.693699,Nov-23,"2 Foster Road, FISH CREEK VIC 3959","1 x CCS2, 1 x CHAdeMO",146.084281,1 x 50kW Fast Charger,"Public Toilet, Parks, Cafes, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/554224,
Foster,Gippsland,South Gippsland Shire Council,-38.65339696,Nov-23,"Town Centre Carpark, 22 Station Road, FOSTER VIC 3960","1 x CCS2, 1 x CHAdeMO",146.2014859,1 x 60kW Fast Charger,"Park, Playground, Public Toilets, Public Swimming Pool, Recreation Reserve, Museum, Art Gallery, Accommodation, Supermarket, Dining, Shopping",NO,South Gippsland Shire Council,https://www.plugshare.com/location/539873,1
Inverloch,Gippsland,Bass Coast Shire Council,-38.634808,Dec-24,"Bunurong Environment Centre - 3 Ramsey Boulevard, INVERLOCH VIC 3996","1 x CCS2, 1 x CHAdeMO",145.728857,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Shopping, Accommodation, Dog Beach, Camping",YES,,,1
Wonthaggi,Gippsland,Bass Coast Shire Council,-38.60364272,Dec-24,"Wonthaggi Arts Space, 1 Bent Street, WONTHAGGI VIC 3995","1 x CCS2, 1 x CHAdeMO",145.5936545,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Shopping, Bushland Reserve, Walking Trails, Recreation Reserve, Aquatic and Leisure Centre, Accommodation",YES,,,1
Yarram,Gippsland,Wellington Shire Council,-38.56393214,,"Yarram Hub, 156 Grant Street, YARRAM VIC 3971","1 x CCS2, 1 x CHAdeMO",146.674347,1 x 50kW Fast Charger,"Park, Public Toilets, Accommodation, Dining, Shopping, Supermarket, Art Gallery",NO,,https://www.plugshare.com/location/425045,1
Lorne,Barwon South West,Surf Coast Shire Council,-38.53662282,Dec-24,"Lorne Visitor Information Centre, 15 Mountjoy Parade, LORNE VIC 3232","1 x CCS2, 1 x CHAdeMO",143.973984,1 x 50kW Fast Charger,"Visitor Information Centre, Camping, Dining, Shopping, Supermarket, Park, Playground, Public Toilets, Walking Trail, Dog Beach, Sea Baths, Accommodation, Coastal Reserve, Walking Trails",YES,,,1
Newhaven,Gippsland,Bass Coast Shire Council,-38.51501587,Dec-24,"Newhaven Visitor Centre, 895 Phillip Island Road, NEWHAVEN VIC 3925","1 x CCS2, 1 x CHAdeMO",145.3477915,1 x 50kW Fast Charger,"Tourist Information Centre, Park, Playground, Public Toilets, Coastal Reserve, Dining, Accommodation",YES,,,1
Leongatha,Gippsland,Evie Networks,-38.477628,Dec-23,"66 McCartin Street, LEONGATHA VIC 3953",2 x CCS2,145.943608,1 x 50kW Fast Charger,"Supermarkets, Cafes, Playgrounds, Parks",NO,Evie Networks,https://www.plugshare.com/location/577111,
Leongatha,Gippsland,South Gippsland Shire Council,-38.47561889,Nov-23,"Council Office and Public Carpark, 9 Smith Street, LEONGATHA VIC 3953","1 x CCS2, 1 x CHAdeMO",145.944958,1 x 60kW Fast Charger,"Park, Playground, Public Toilets, Wetlands, Recreation Reserve, Dining, Shopping, Accommodation, Supermarket",NO,South Gippsland Shire Council,https://www.plugshare.com/location/539833,1
Flinders,Port Phillip,Evie Networks,-38.47447131,31-Jul-23,"33 Cook St, Flinders VIC 3929","1 x CCS2, 1 x CHAdeMO",145.0188104,1 x 50 kW Fast Charger,"Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Accommodation",NO,,https://www.plugshare.com/location/531949,1
Aireys Inlet,Barwon South West,Surf Coast Shire Council,-38.45606232,Dec-24,"Aireys Inlet Community Centre, 6 Great Ocean Road, AIREYS INLET VIC 3230",,144.1083296,1 x 50kW Fast Charger,"Park, Playground, Dining, Accommodation, Shopping, Coastal Reserve, Art Gallery, Supermarket, Lookout",YES,,,1
Cowes,Gippsland,Evie Networks,-38.4519445,Sep-24,"97 Thompson Avenue, COWES VIC 3922","1 x CCS2, 1 x CHAdeMO",145.2392598,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Accommodation, Dog Beach, Picnic Area, Leisure Centre, Dining, Shopping, Recreation Reserve, Supermarket",YES,,,1
Korumburra,Gippsland,Evie Networks,-38.434162,Dec-23,"7 Mine Rd, KORUMBURRA VIC 3950",2 x CCS2,145.825097,1 x 50kW Fast Charger,"Supermarket, Cafes, Restaurants,",NO,Evie Networks,https://www.plugshare.com/location/577108,
Korumburra,Gippsland,South Gippsland Shire Council,-38.43248309,Dec-23,"Town Centre Carpark, 24 Commercial Street, KORUMBURRA VIC 3950","1 x CCS2, 1 x CHAdeMO",145.8246226,1 x 60kW Fast Charger,"Park, Playground, Public Toilets, Tourist Park, Botanic Park, Dining, Shopping, Accommodation, Supermarket",NO,South Gippsland Shire Council,https://www.plugshare.com/location/539841,1
Anglesea,Barwon South West,Surf Coast Shire Council,-38.41040974,Feb-25,"Anglesea Visitor Information Centre, Anglesea Riverbank, Great Ocean Road, ANGLESEA VIC 3230",,144.18708,1 x 50kW Fast Charger,"Visitor Information Centre, Camping, Dining, Shopping, Park, Playground, Public Toilets, Supermarket, Accommodation",YES,,,1
Grantville,Gippsland,Bass Coast Shire Council,-38.40694709,Dec-24,"Grantville Transaction Centre, 1504-1510 Bass Highway, GRANTVILLE VIC 3984","1 x CCS2, 1 x CHAdeMO",145.5301161,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Supermarket, Foreshore Reserve, Recreation Reserve",YES,,,1
Warrnambool,Barwon South West,Warrnambool City Council,-38.38940775,30-Mar-24,"Warrnambool Visitor Information Centre, 89 Merri Street, WARRNAMBOOL VIC 3280","1 x CCS2, 1 x CHAdeMO",142.4850348,1 x 50kW Fast Charger,"Visitor Information Centre, Playground, Park, Public Toilets, Lookout, Foreshore Reserve, Art Gallery, Dining, Shopping, Wetlands, Hot Springs, Foreshore Promenade, Mini Golf, Accommodation, Supermarket",NO,,https://www.plugshare.com/location/568217,1
Port Fairy,Barwon South West,Evie Networks,-38.3838,30-Nov-23,"5 Bank Street, PORT FAIRY VIC 3284","1 x CCS2, 1 x CHAdeMO",142.23847,1 x 50kW Fast Charger,"Park, Public Toilets, Playground, Museum, Riverfront Walking Trail, Dining, Shopping, Supermarket, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/484849,1
Rosebud,Port Phillip,Rosebud RSL,-38.36804386,19/5/2023,"Rosebud RSL Car Park, 113-123 Eastbourne Road, ROSEBUD VIC 3939","2 x CCS2, 2 x CHAdeMO",144.9047738,2 x 24kW Charger,"Park, Playground, Public Toilets, Accommodation",NO,Rosebud RSL,https://www.plugshare.com/location/471733,2
Portland,Barwon South West,Evie Networks,-38.34646,Jan-24,"29 Henty Street, PORTLAND VIC 3305","1 x CCS2, 1 x CHAdeMO",141.60165,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Botanic Gardens, Museum, Lighthouse, Accommodation, Supermarket, Dining, Shopping",NO,Evie Networks,https://www.plugshare.com/location/484850,1
Torquay,Barwon South West,,-38.34072141,,"1 Great Ocean Road, JAN JUC, VIC, 3228","4 x CHAdeMO and 4 x CCS2/SAE
2 x Tesla
1 x J-1772 - not networked",144.3112815,"2 x 350kW Ultra Rapid Chargers, 2 x 50kW Fast Chargers, 2 x 6kW Tesla",,NO,Chargefox and Tesla,https://www.plugshare.com/location/72031,6
Colac,Barwon South West,Evie Networks,-38.34053226,Feb-24,"9-29 Bromfield Street, COLAC VIC 3250","1 x CCS2, 1 x CHAdeMO",143.585679,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Shopping, Dining, Supermarket, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/616110,1
KILLARNEY,Barwon South West,Basalt Wines,-38.33950575,,"Basalt Wines, 1131 Princes Highway, KILLARNEY VIC 3283","1 x Type 2, 1 x CCS2",142.3275173,1 x 22kW Charger,"Dining, Winery",NO,,https://www.plugshare.com/location/371287,1
Torquay,Barwon South West,Evie Networks,-38.33122194,Dec-23,"2 Walker Street, TORQUAY VIC 3228",2 x CCS2,144.3249256,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Shopping, Dining, Supermarket, Accommodation, Lookout",NO,,https://www.plugshare.com/location/553593,1
